kelime_1,kelime_2,iliski_turu
affedilmek,bağışlanmak,yönlendirme
affediş,bağışlayış,yönlendirme
affetme,bağışlama,yönlendirme
affetmek,bağışlamak,yönlendirme
affetmek,mazur görmek,anlam içi
affettirebilme,bağışlatabilme,yönlendirme
affettirebilmek,bağışlatabilmek,yönlendirme
affettiriş,bağışlatış,yönlendirme
affettirme,bağışlatma,yönlendirme
affettirmek,bağışlatmak,yönlendirme
affeyleme,bağışlama,yönlendirme
affeylemek,bağışlamak,yönlendirme
affolunabilme,bağışlanabilme,yönlendirme
affolunabilmek,bağışlanabilmek,yönlendirme
affolunma,bağışlanma,yönlendirme
affolunmak,bağışlanmak,yönlendirme
Afgan,Peştu,anlam içi
afif,iffetli (erkek),yönlendirme
afife,iffetli (kadın),yönlendirme
afifelik,iffetlilik,yönlendirme
afiflik,iffetlilik,yönlendirme
afiş,ası,anlam içi
afişe,"açıklamak"" anlamlarındaki afişe etmek",anlam içi
afoni,ses yitimi,yönlendirme
aforizma,özdeyiş,yönlendirme
aforozlamak,aforoz etmek,anlam içi
aforozlamak,toplum dışılamak,anlam içi
aforoz etmek,toplum dışılamak,anlam içi
afralı tafralı,afurlu tafurlu,anlam içi
afra tafra,afur tafur,anlam içi
afsun,büyü,yönlendirme
afsuncu,büyücü,yönlendirme
afsunculuk,büyücülük,yönlendirme
afsunlama,büyüleme,yönlendirme
afsunlamak,büyülemek,yönlendirme
afsunlanma,büyülenme,yönlendirme
afsunlanmak,büyülenmek,yönlendirme
afsunlu,büyülü,yönlendirme
Afşar,Avşar,anlam içi
aft,pamukçuk,yönlendirme
Afyonkarahisar,Afyon,anlam içi
agami,borazan kuşu,yönlendirme
agaragar,jeloz,anlam içi
aglütinasyon,kümeleşim,yönlendirme
agnosi,tanısızlık,yönlendirme
agnostik,bilinemezci,yönlendirme
agnostisizm,bilinemezcilik,yönlendirme
agora,halk meydanı,anlam içi
agraf,kopça,yönlendirme
agrafi,yazma yitimi,yönlendirme
agrandisman,büyültme,yönlendirme
agrandisör,büyülteç,yönlendirme
agreman,uygunluk,yönlendirme
agronomi,tarım bilimi,yönlendirme
agu,agucuk,yönlendirme
agucuk bebek,agu bebek,anlam içi
agulama,gığıldama,anlam içi
agulamak,gığıldamak,anlam içi
aguş,kucak,yönlendirme
agâh,bilgili,yönlendirme
agâh,haberli,yönlendirme
ağ,şebeke,anlam içi
ağ,örgü,anlam içi
ağ,tuzak,yönlendirme
ağ,file,anlam içi
ağ,apışlık,anlam içi
ağa,ağabey,yönlendirme
ağa,koca,yönlendirme
ağababa,ata,yönlendirme
ağaç,kereste,yönlendirme
ağaçküpesi,hatmi,yönlendirme
ağaçlama,ağaçlandırma,yönlendirme
ağaçlamak,ağaçlandırmak,yönlendirme
ağaçsı,ağacımsı,anlam içi
ağaç balı,kedi balı,anlam içi
ağaç bilimci,dendrolojist,anlam içi
ağaç bilimci,dendrolog,anlam içi
ağaç sakızı,reçine,yönlendirme
ağaç sansarı,zerdeva (Martes martes),anlam içi
ağaç serçesi,dağ serçesi,yönlendirme
ağarabilme,beyazlayabilme,yönlendirme
ağarabilmek,beyazlayabilmek,yönlendirme
ağarış,beyazlayış,yönlendirme
ağarma,beyazlaşma,yönlendirme
ağarmak,beyazlaşmak,yönlendirme
ağarmak,aydınlanmak,yönlendirme
ağartabilme,beyazlatabilme,yönlendirme
ağartabilmek,beyazlatabilmek,yönlendirme
ağartı,beyazlık,yönlendirme
ağartılış,beyazlatılış,yönlendirme
ağartılma,beyazlatılma,yönlendirme
ağartılmak,beyazlatılmak,yönlendirme
ağartma,beyazlatma,yönlendirme
ağartma,beyazlaştırma,yönlendirme
ağartmak,beyazlatmak,yönlendirme
ağartmak,beyazlaştırmak,yönlendirme
ağdalı,karmaşık,yönlendirme
ağı,zehir,yönlendirme
ağıl,arkaç,anlam içi
ağılama,zehirleme,yönlendirme
ağılamak,zehirlemek,yönlendirme
ağılanma,zehirlenme,yönlendirme
ağılanmak,zehirlenmek,yönlendirme
ağılı,zehirli,yönlendirme
ağılı böcek,karafatma,yönlendirme
ağıllanmak,halelenmek,anlam içi
ağır,kilolu,anlam içi
ağır,sakil,anlam içi
ağır,hafif karşıtı,anlam içi
ağır,yavaş,yönlendirme
ağır,yoğun,yönlendirme
ağır,değerli,yönlendirme
ağır,çetin,yönlendirme
ağır,ağırbaşlı,yönlendirme
ağır,kısık,yönlendirme
ağır,ağır sıklet,yönlendirme
ağırbaşlı,vakarlı,anlam içi
ağırbaşlı,vakur,anlam içi
ağırbaşlı,ciddi,anlam içi
ağırbaşlı,hoppa karşıtı,anlam içi
ağırbaşlılık,ağırlık,anlam içi
ağırbaşlılık,vakar,anlam içi
ağırbaşlılık,vakarlılık,anlam içi
ağırbaşlılık,vakurluk,anlam içi
ağırcanlı,ağırkanlı,anlam içi
ağırcanlı,tembel,yönlendirme
ağırelli,eli ağır,yönlendirme
ağırellilik,eli ağırlık,yönlendirme
ağırlama,izaz,anlam içi
ağırlama,izzetüikram,anlam içi
ağırlamak,ilgilenmek,anlam içi
ağırlamak,izaz etmek,anlam içi
ağırlaşmak,yavaşlamak,yönlendirme
ağırlaşmak,güçleşmek,yönlendirme
ağırlık,tartı,anlam içi
ağırlık,takı,yönlendirme
ağırlık,sorumluluk,yönlendirme
ağırlık,kalın,anlam içi
ağırlık,sıkıntı,yönlendirme
ağırlık,gravite,anlam içi
ağırlık,sıklet,anlam içi
ağırlıksızlaşma,çekimsizleşme,yönlendirme
ağırlıksızlaşmak,çekimsizleşmek,yönlendirme
ağırsamak,yüksünmek,yönlendirme
ağırşak,kurs,anlam içi
ağır ağır,yavaş yavaş,yönlendirme
ağır araç,ağır vasıta,yönlendirme
ağır hidrojen,döteryum,yönlendirme
ağır sıklet,başağırlık,anlam içi
ağır uyku,derin uyku,yönlendirme
ağır yağ,kalın yağ,yönlendirme
ağıt,deme,anlam içi
ağıt,sagu,anlam içi
ağıt,mersiye,anlam içi
ağıtçı,sagucu,anlam içi
ağıtçı,mersiyehan,anlam içi
ağıtçılık,ağlayıcılık,anlam içi
ağıtçılık,saguculuk,anlam içi
ağıtçılık,mersiyehanlık,anlam içi
ağız,kavşak,yönlendirme
ağız,diyalekt: Rumeli ağzı,anlam içi
ağız,Konya ağzı,anlam içi
ağız,Muğla ağzı,anlam içi
ağız,Siverek ağzı vb,anlam içi
ağızcıl,oral,anlam içi
ağızlık,huni,anlam içi
ağızotu,yem,anlam içi
ağızotu,yemleme,anlam içi
ağızsıl ünlü,ağız ünlüsü,yönlendirme
ağız birliği,söz birliği,anlam içi
ağız dalaşı,ağız kavgası,anlam içi
ağız dalaşı,dil kavgası,anlam içi
ağız dalaşı,dil dalaşı,anlam içi
ağız kavafı,geveze,yönlendirme
ağız şakası,dil şakası,anlam içi
ağız tadı,kemaliafiyet,anlam içi
ağı ağacı,zakkum,yönlendirme
ağı çiçeği,zakkum,yönlendirme
ağlamaklı,ağlamalı,anlam içi
ağlamaklı,ağlamsı,anlam içi
ağlantı,şikâyet,yönlendirme
ağlatı,trajedi,yönlendirme
ağlayıcı,ağıtçı,yönlendirme
ağma,akan yıldız,yönlendirme
ağnam,sayım vergisi,yönlendirme
ağrı,veca,anlam içi
ağrı kesici,analjezik,anlam içi
ağrı kesimi,ağrı yitimi,yönlendirme
ağrı yitimi,analjezi,anlam içi
ağustos böceği,orak böceği (Cicada plebeja),anlam içi
ağzıaçık,ağzıaçık börek,anlam içi
ağzı bozuk,küfürbaz,yönlendirme
ağzı kalabalık,farfara,anlam içi
ağzı kalabalıklık,farfaralık,anlam içi
ağzı kara,şom ağızlı,anlam içi
ağzı kilitli,oruçlu,yönlendirme
ağzı pek,ağzı sıkı,yönlendirme
ağzı sıkı,ketum,anlam içi
ağ tabaka,retina,anlam içi
ağ yatak,hamak,yönlendirme
ah,öç,yönlendirme
aha,işte,yönlendirme
ahacık,işte,yönlendirme
ahali,el,anlam içi
ahali,halk,anlam içi
ahali,umum,anlam içi
ahbaplık,yakınlık,yönlendirme
Ahd-i Atik,Tevrat,yönlendirme
Ahd-i Cedit,İncil,yönlendirme
ahenk,uyum,yönlendirme
ahenk,ezgi,yönlendirme
ahenkleştirme,uyumlandırma,yönlendirme
ahenkleştirmek,uyumlandırmak,yönlendirme
ahenkli,uyumlu,yönlendirme
ahenkli,ahenktar,anlam içi
ahenklilik,uyumluluk,yönlendirme
ahenksiz,uyumsuz,yönlendirme
ahenksizlik,uyumsuzluk,yönlendirme
ahenk kaidesi,ünlü uyumu,yönlendirme
aheste,yavaş,yönlendirme
aheste aheste,yavaş yavaş,yönlendirme
aheste beste,yavaş yavaş,yönlendirme
ahır,dam,anlam içi
ahır,hayvan damı,anlam içi
ahi,cömert,yönlendirme
ahilik,cömertlik,yönlendirme
ahir,sonunda,yönlendirme
ahir,sonra,yönlendirme
ahiret,öbür dünya,anlam içi
ahiret,öteki dünya,anlam içi
ahiret,ahret,anlam içi
ahiret yolculuğu,ölüm,yönlendirme
ahit,ant,anlam içi
ahit,antlaşma,yönlendirme
ahit,çağ,yönlendirme
ahitleşme,antlaşma,yönlendirme
ahitleşmek,antlaşmak,yönlendirme
ahlak,aktöre,anlam içi
ahlak,sağtöre,anlam içi
ahlakçı,törelci,anlam içi
ahlakçı,aktöreci,anlam içi
ahlakçı,moralist,anlam içi
ahlakçılık,törelcilik,anlam içi
ahlakçılık,aktörecilik,anlam içi
ahlakçılık,moralizm,anlam içi
ahlaken,ahlakça,yönlendirme
ahlaki,aktöresel,anlam içi
ahlaki,sağtöresel,anlam içi
ahlaki,törel,anlam içi
ahlaki,etik,anlam içi
ahlaklılık,ahlakiyet,anlam içi
ahlaksız,uçkursuz,anlam içi
ahlaksızca,ahlaksızcasına,anlam içi
ahlak bilimi,ilmiahlak,anlam içi
ahlak bilimi,ahlakiyat,anlam içi
ahlak bilimi,etik,anlam içi
ahlak bilimi,etik bilimi,anlam içi
ahlak dışı,gayriahlaki,anlam içi
ahlak dışı,töre dışı,yönlendirme
ahlak dışıcılık,töre dışıcılık,yönlendirme
ahlat,yaban armudu,anlam içi
ahlat,dağ armudu,anlam içi
ahlat,çakal armudu (Pyrus elaeagnifolia),anlam içi
ahlat,çakal armudu,anlam içi
ahlat,ahlatıerbaa,yönlendirme
ahmakıslatan,çisenti,yönlendirme
ahmaklık,hamakat,anlam içi
ahraz,dilsiz,yönlendirme
ahretlik,besleme,yönlendirme
ahşa,bağır,yönlendirme
ahu,ceylan,yönlendirme
ahududu,ağaç çileği,anlam içi
ahududu,frambuaz,anlam içi
ahuvah,ah vah,yönlendirme
ahu gözlü,ceylan gözlü,anlam içi
ahzetme,alma,yönlendirme
ahzetmek,almak,yönlendirme
ahzüita,alışveriş,yönlendirme
aidat,ödenti,anlam içi
aidiyet,aitlik,yönlendirme
aidiyet eki,aitlik eki,yönlendirme
aile,ev,anlam içi
aile,familya,anlam içi
ailece,ailecek,anlam içi
ailece,aile boyu,anlam içi
ailece,maaile,anlam içi
aile adı,soyadı,yönlendirme
aile adı,aile ismi,anlam içi
aile bahçesi,aile çay bahçesi,yönlendirme
aile doktoru,aile hekimi,anlam içi
aile matinesi,kadınlar matinesi,yönlendirme
ait,ilişkin,anlam içi
ait,değgin,anlam içi
ait,ilişik,yönlendirme
aitlik eki,onunki,anlam içi
aitlik eki,seninki vb,anlam içi
ajan,casus,yönlendirme
ajan,temsilci,anlam içi
ajanda,akıl defteri,anlam içi
ajanda,andaç,anlam içi
ajanlık,casusluk,yönlendirme
ajan provokatör,kışkırtıcı ajan,yönlendirme
ajitasyon,körükleme,yönlendirme
ajitasyon,çırpıntı,yönlendirme
ak,beyaz,anlam içi
ak,kara ve siyah karşıtı,anlam içi
aka,ağabey,yönlendirme
akaçlama,tefcir,anlam içi
akaçlama,drenaj,anlam içi
akademi,yüksekokul,yönlendirme
akademisyen,öğretim elemanı,yönlendirme
akaju,maun,yönlendirme
akak,yatak,yönlendirme
akamet,verimsizlik,yönlendirme
akan yıldız,şahap,anlam içi
akar,akaret,anlam içi
akar,mayt,anlam içi
akarca,fistül,anlam içi
akarsu,abırevan,anlam içi
akasma,yaban asması,anlam içi
akasma,orman sarmaşığı,anlam içi
akasma,meryemana asması (Clematis vitalba),anlam içi
akasya,salkım ağacı,anlam içi
akasya,yalancı akasya (Robinia pseudoacacia),anlam içi
akbaba,kerkes (Vultur monachus),anlam içi
akbakla,kuru fasulye,yönlendirme
akbalık,akya balığı,yönlendirme
akbasma,katarakt,yönlendirme
akbaş,deniz kazı (Bemicla),anlam içi
akburçak,mürdümük,yönlendirme
akciğer zarı,plevra,anlam içi
akça,ağca,anlam içi
akça,akçe,yönlendirme
akçaağaç,isfendan (Acer),anlam içi
akçakavak,akkavak,yönlendirme
akçakesme,kesme,yönlendirme
akçalamak,finanse etmek,anlam içi
akça yel,keşişleme,yönlendirme
akdarı,darı,yönlendirme
Akdeniz humması,Malta humması,yönlendirme
akdetmek,imzalamak,anlam içi
akdiken,alıç,yönlendirme
akdoğan,aksungur,anlam içi
akgünlük,ardıç reçinesi,anlam içi
akgünlük,ardıç zamkı,anlam içi
akı,seyelan,anlam içi
akıbet,serencam,anlam içi
akıbet,sonunda,yönlendirme
akıcı,selis,anlam içi
akıcılık,selaset,anlam içi
akıl,us,anlam içi
akıl,bellek,yönlendirme
akılcı,usçu,anlam içi
akılcı,akliyeci,anlam içi
akılcı,rasyonalist,anlam içi
akılcılık,usçuluk,anlam içi
akılcılık,akliye,anlam içi
akılcılık,akliyecilik,anlam içi
akılcılık,rasyonalizm,anlam içi
akılcılık,deneycilik karşıtı,anlam içi
akıllanmak,uslanmak,yönlendirme
akıllı,akil,anlam içi
akıllıca,akıllıcasına,anlam içi
akıllıca,akilane,anlam içi
akılsal,akli,yönlendirme
akılsızca,akılsızcasına,anlam içi
akılsızlık,budalalık,anlam içi
akıl dışı,gayrimakul,anlam içi
akıl dışı,us dışı,anlam içi
akıl dışı,irrasyonel,anlam içi
akıl dışıcılık,us dışıcılık,anlam içi
akıl dışıcılık,irrasyonalizm,anlam içi
akıl dışılık,us dışılık,anlam içi
akıl dışılık,gayrimakullük,anlam içi
akıl dişi,yirmilik diş,yönlendirme
akıl doktoru,psikiyatr,yönlendirme
