madde,anlam,lisan,telaffuz
açılmak,"Açık duruma gelmek veya getirilmek | Renk daha açık bir tona gelmek | Kendine gelmek, biraz iyileşmek | Sıkılması, çekinmesi, tutukluğu kalmamak | Kuruluş ilk kez veya yeniden işe başlamak | İşini gereğinden veya yapabileceğinden geniş tutmak | Geniş bir duruma gelmek | Yırtık duruma gelmek | Sis, karanlık, duman vb. dağılmak, yoğunluğunu yitirmek | Gereken güce ulaşmak | Kıyıdan uzaklaşmak | Kapı, yol vb. geçit vermek | Herhangi bir konuyla veya sorunla ilgili olarak düşünce ve uygulamalarda yeni koşulların gerektirdiği değişiklikleri veya yenilikleri yapmak | Sırrını, üzüntüsünü, sorunlarını birine anlatmak | Karşı cinse sevdiğini ilk kez dile getirmek",,
açımlamak,"Bir sorunu veya konuyu ele alıp en ince noktasına kadar gözden geçirerek anlatmak; şerh etmek, teşrih etmek",,
açımlanmak,Açımlama işine konu olmak,,
açındırmak,Açınmasını sağlamak | Bir cismin yüzeyini açarak bir düzlem üzerine yaymak; düzlemleştirmek [matematik] | Alıcıda kullanılan boş film üzerindeki gizli görüntüyü görülebilir biçime sokmak amacıyla filmi kimyasal işlemden geçirmek [sinema],,
açınmak,Uyurken üzerindeki yorgan ve örtüyü atmak | Tohum çimlenme gelişimini tamamlamak [biyoloji] | Açık saçık giyinmek,,
açınsamak,Bir yerin özelliklerini ortaya çıkarmak için araştırma ve inceleme yapmak; istikşaf etmek [jeoloji],,
açıvermek,Ansızın veya çabucak açmak,,açı'vermek
açkılamak,Açkı ile parlatmak,,
açkılanmak,Açkı yapılmak; perdahlanmak,,
açkılatılmak,Açkılatma işine konu olmak,,
açkılatmak,Açkı işi yaptırmak,,
açmak,"Bir şeyi kapalı durumdan açık duruma getirmek | Engeli kaldırmak | Sarılmış, katlanmış, örtülmüş veya iliklenmiş olan şeyleri açık duruma getirmek | Bir şeyi, bir yeri oyarak veya kazarak çukur, delik oluşturmak | Tıkalı bir şeyi bu durumdan kurtarmak | Alanını genişletmek | Birbirinden uzaklaştırmak | Düğümü veya dolaşmış bir şeyi bu durumdan kurtarmak | Bir toplantıyı, etkinliği başlatmak | Bir kuruluşu, bir iş yerini işler duruma getirmek | Bir aygıtı, bir düzeneği çalıştırmak | Alışverişi başlatmak | Rengin koyuluğunu azaltmak | Yakışmak, güzel göstermek | Ferahlık vermek | Geçit sağlamak | Bir konu ile ilgili konuşmak | Avunmak veya danışmak üzere söylemek, içini dökmek | Satranç, poker vb. oyunları başlatmak | Yapmak, düzenlemek | Ayırmak, tahsis etmek | Görünür duruma getirmek | Gökyüzü bulutların dağılmasıyla aydınlanmak | Bitki çiçekli duruma gelmek | Sıkıntısını gidermek, içine, gönlüne ferahlık vermek | Sıkılganlığını, utangaçlığını gidermek | Savaşla almak",,
açtırabilmek,Açmasını veya açılmasını sağlamak | Açtırmaya becerisi bulunmak,,
açtırılmak,Açtırma işi yaptırılmak,,
açtırmak,Açma işini yaptırmak,,
adaklamak,Küçük çocuk yürümeye başlamak,,
adaklanmak,Adına adak adanmak,,
adamak,"Bir dileğin gerçekleşmesi amacıyla kutsal olduğuna inanılan bir güce niyette bulunmak; nezretmek | Kutsal saydığı, değer verdiği bir şey veya kimse uğruna kendini feda etmek üzere söz vermek | Bir şeyle yoğun olarak ilgilenmek",,
adanmak,Adama işine konu olmak,,
adatmak,Adama işini yaptırmak,,
adayabilmek,Adama ihtimali veya imkânı bulunmak | Adama becerisi bulunmak,,
adımlamak,Adımla ölçmek | Bir yerde ileri geri gezinmek,,
adımlanmak,Adımlama işi yapılmak,,
adımlayabilmek,Adımlama ihtimali veya imkânı bulunmak | Adımlama becerisi bulunmak,,
adileşebilmek,Adileşme ihtimali bulunmak,,
adileşivermek,Çabucak adi bir duruma gelmek,,adileşi'vermek
adileşmek,Adi bir duruma girmek,,
adileştirmek,Adileşmesine yol açmak,,
adlandırabilmek,"Adlandırma, ad verme ihtimali bulunmak; isimlendirebilmek | Adlandırmaya gücü yetmek; isimlendirebilmek",,
adlandırılabilmek,"Adlandırılma, ad verilme ihtimali bulunmak; isimlendirilebilmek",,
adlandırılmak,Adlandırma işi yapılmak; isimlendirilmek,,
adlandırıvermek,"Çabucak adlandırmak, ad koymak; isimlendirivermek",,adlandırı'vermek
adlandırmak,"Çağırmak veya anmak için bir canlıya, bir yere, bir şeye ad vermek; ad koymak, ad takmak, ad vermek, anmak, isim koymak, isim takmak, isim vermek, isimlendirmek, tesmiye etmek",,
adlanmak,Kendisine ad verilmek; isimlenmek,,
adlaşmak,Ad durumuna gelmek; isimleşmek,,
adlaştırmak,Ad durumuna getirmek; isimleştirmek,,
afacanlaşmak,"Yaramazlaşmak, yaramaz, ele avuca sığmaz duruma gelmek",,
afallamak,Şaşkınlıktan sersemleşmek,,
afallaşmak,"Şaşkınlık içinde kalmak, şaşırıp bir şey yapamaz olmak",,
afallaştırmak,"Şaşkınlık içinde bırakmak, birini şaşırıp bir şey yapamaz duruma sokmak",,
afallatmak,Şaşkınlığa düşürerek sersemleştirmek,,
affetmek,Hoşgörü ile karşılamak; mazur görmek | Birinin sorumluluğundaki bir görevden veya işten çıkmasına izin vermek,Arapça ʿafv + Türkçe etmek,a'ffetmek
aforozlamak,"Hristiyanlıkta bir Hristiyan'ın kiliseyle ilgisini kesmek; aforoz etmek [din bilimi] | Darılıp biriyle konuşmamak, ilgiyi kesip kendinden uzaklaştırmak; aforoz etmek | Birini sergilediği olumsuz eylemler sebebiyle toplum veya bir topluluktan dışlamak; aforoz etmek, toplum dışılamak",,
aforozlanmak,Aforozlama işi yapılmak,,
afyonlamak,"Afyon vererek uyuşturmak, uyutmak | Birini telkin yoluyla doğru düşünmesini önleyerek zararlı bir yola sürüklemek",,
afyonlanmak,Afyonlama işi yapılmak,,
agulamak,"Bebek ""agu"" diye ses çıkarmak | Bebek konuşma öncesi dönemde birtakım anlamsız sesler çıkarmak; gığıldamak [eğitim]",,
ağaçlandırabilmek,Bir yeri fidanlar dikerek ağaçlı duruma getirme ihtimali veya imkânı bulunmak | Ağaçlandırmaya gücü yetmek,,
ağaçlandırılmak,Ağaçlı duruma getirilmek,,
ağaçlandırmak,Bir yeri ağaçlı duruma getirmek; ağaçlamak,,
ağaçlanmak,Ağaçlı duruma gelmek,,
ağaçlaşmak,Ağaç durumuna gelmek,,
ağalanmak,Ağa tavrı takınarak çalım yapmak,,
ağarıvermek,Aniden beyazlaşmak,,ağarı'vermek
ağarmak,Rengi solmak,,
ağartmak,Kuyumculukta gümüşü temizlemek,,
ağdalanmak,Ağda durumuna gelmek | Ağda kıvamına gelmek | Ağda bulaşmak,,
ağdalaşabilmek,Ağda durumuna gelme ihtimali bulunmak,,
ağdalaşıvermek,Çabucak ağda durumuna gelmek,,ağdalaşı'vermek
ağdalaşmak,"Ağda durumuna gelmek | Ağda kıvamına gelmek | Sohbet derinleşmek, tam tadına varılır durum almak",,
ağdalaştırılmak,Ağda durumuna getirilmek,,
ağdalaştırmak,Ağda durumuna getirmek,,
ağdırmak,Ağmasına sebep olmak | Yük veya terazide denge bozularak bir yanı yukarı gelmek,,
ağılamak,Bir şeye zehir katmak,,
ağılandırmak,Zehirli duruma getirmek,,
ağılaşmak,Zehirli duruma gelmek,,
ağıllanmak,Toplanıp bir arada durmak | Çevresinde ağıl denen hale oluşmak; halelenmek,,
ağınmak,Hayvan yere yatıp yuvarlanmak,,
ağırlamak,"Konuğa gerekli ilgiyi göstererek izzet ve ikramda bulunmak; ilgilenmek, izaz etmek",,
ağırlanabilmek,Ağırlanma ihtimali bulunmak,,
ağırlanmak,Ağırlama işine konu olmak,,
ağırlaşabilmek,Ağırlaşma ihtimali veya imkânı bulunmak,,
ağırlaşmak,"Ağır duruma gelmek | Sıkıcı ve bunaltıcı bir durum almak | Gökyüzü bulutlu, karanlık, iç karartıcı bir hâl almak | Yiyecek bozulmaya yüz tutmak | Organ görevini yapamaz duruma gelmek | Göz kapakları kapanmak üzere olmak | Artan, çoğalan | Gebe kadının doğurması yaklaşmak | Ağırbaşlı hâle gelmek | Hasta tehlikeli duruma gelmek",,
ağırlaştırabilmek,Ağırlaştırma ihtimali veya imkânı bulunmak | Ağırlaştırmaya gücü yetmek,,
ağırlaştırılabilmek,Ağırlaştırılma ihtimali veya imkânı bulunmak,,
ağırlaştırılmak,Ağırlaştırma işi yapılmak,,
ağırlaştırmak,Bir şeyin ağırlaşmasına yol açmak,,
ağırlatabilmek,Ağırlatma ihtimali veya imkânı bulunmak,,
ağırlatmak,Ağırlama işini yaptırmak | Ağır olmasını sağlamak,,
ağırlayabilmek,Ağırlama ihtimali veya imkânı bulunmak | Ağırlama becerisi bulunmak,,
ağırsamak,"Birine karşı soğuk davranarak sıkıntı verdiğini anlatmak | Bir işi yavaş yapmak, önemsememek, ilgilenmemek | Bir işi ağır bulmak",,
ağırşaklanmak,Ergenlik döneminde çıbanda veya memede ağırşak biçiminde bir tümsek oluşmak,,
ağızlamak,Bir boğazın veya bir limanın ağzını ortalamak [denizcilik] | Bir parçayı yuvasına geçirmek için önce yuvanın ağzını ayarlamak [teknik] | Bir işi kolaylamak,,
ağızlaşmak,İki kan damarı birbiri içine açılmak [anatomi],,
ağlamak,"Üzüntü, acı, sevinç, pişmanlık vb.nin etkisiyle gözyaşı dökmek | Ağaç budandığında kesilen yerlerden besi suyu veya öz su akmak | Herhangi bir şeyden yakınmak | Bir duruma üzülmek",,
ağlanmak,Ağlama işi yapılmak,,
ağlaşmak,Birlikte ağlamak,,
ağlatabilmek,Ağlatma ihtimali veya imkânı bulunmak | Ağlatmaya gücü yetmek,,
ağlatmak,Ağlamasına yol açmak,,
ağlayabilmek,Ağlama ihtimali bulunmak | Ağlama becerisi bulunmak,,
ağlayıvermek,"Çabucak ağlamak, ağlamayı alışkanlık edinmek",,ağlayı'vermek
ağmak,"Sarkmak, aşağıya inmek | Yük vb. şeyler bir yana eğilmek",,
ağmak,"Yükselmek, yukarı doğru çıkmak; inmek",,
ağnamak,Hayvan yere yatıp yuvarlanmak,,
ağrımak,Vücudun bir yeri ağrılı durumda olmak,,
ağrıtabilmek,Ağrıtma ihtimali veya imkânı bulunmak,,
ağrıtmak,Ağrımasına yol açmak,,
ağrıyabilmek,Ağrıma ihtimali veya imkânı bulunmak,,
aharlamak,Ahar sürmek,,
ahdetmek,Bir şeyi yapmak için kendi kendine söz vermek,Arapça ʿahd + Türkçe etmek,a'hdetmek
ahırlamak,Hayvan ahırda uzun süre kalıp hamlamak | Kışın hayvanları ahırda tutmak,,
ahlamak,"İç çekmek, ah etmek, ah çeker gibi ses çıkarmak",,
ahmak,"Aklını gereği gibi kullanamayan, anlama ve kavrama yetenekleri gelişmemiş (kimse)",Arapça aḥmaḳ,
ahmaklaşabilmek,Ahmaklaşma ihtimali bulunmak,,
ahmaklaşmak,Aklını gereği gibi kullanamamak | Bir an için şaşalayıp bocalamak | Bilinci ve algıları yavaşlamak,,
ahmaklaştırabilmek,Ahmaklaştırma ihtimali bulunmak | Ahmaklaştırma becerisi bulunmak,,
ahmaklaştırmak,Ahmak durumuna getirmek,,
akabilmek,Akma ihtimali veya imkânı bulunmak,,
akaçlamak,Bir yerde birikmiş suları akıtmak | Bataklıkları akaç yoluyla kurutmak,,
akaçlatmak,Akaçlama işini yaptırmak,,
akçalamak,"Bir girişim için gereken parayı, krediyi sağlamak; finanse etmek",,
akçalanmak,"Parayla desteklenmek, finanse edilmek",,
akçıllanmak,"Akçıl duruma gelmek, rengi atmak veya atmış gibi olmak",,
akçıllaşmak,Akçıl duruma gelmiş olmak,,
akdedebilmek,Akdetme ihtimali veya imkânı bulunmak | Akdetmeye gücü yetmek,Arapça ʿaḳd + Türkçe edebilmek,a'kdedebilmek
akdedilmek,Akdetme işi yapılmak,Arapça ʿaḳd + Türkçe edilmek,a'kdedilmek
akdetmek,"Barış, ittifak, mütareke, muahede, mukavele vb.ni yapmak; imzalamak | Toplantı, konferans, nikâh vb.ni tertip etmek, düzenlemek",Arapça ʿaḳd + Türkçe etmek,a'kdetmek
akıllanabilmek,Akıllanma ihtimali veya imkânı bulunmak | Akıllanma becerisi bulunmak,,
akıllandırmak,"Aklını kullanmasını sağlamak, aklını başına getirmek",,
akıllanıvermek,Çabucak aklı başına gelmek,,akıllanı'vermek
akıllanmak,"Doğruyu yanlıştan, iyiyi kötüden ayırt edebilecek durumda olmak, edindiği deneyimlerden ders alarak, gerçeği iyi görerek olması gerektiği gibi doğru ve tedbirli hareket edebilmek",,
akıllılaşmak,Akıllı duruma gelmek,,
akılsallaştırmak,Bir şeyi akılsal duruma getirmek,,
akışkanlaşmak,Akışkan duruma gelmek,,
akışkanlaştırmak,Akışkan duruma getirmek,,
akışmak,Karşılıklı akmak | Her yönden gelip gitmek,,
akıtabilmek,Akmasını sağlama ihtimali veya imkânı bulunmak | Akıtmaya gücü yetmek,,
akıtılmak,Akıtma işi yapılmak,,
akıtıvermek,Çabucak akmasını sağlamak,,akıtı'vermek
akıtmak,"Akmasını sağlamak, akmasına yol açmak; dökmek",,
akıvermek,Çabucak akmak,,akı'vermek
akkorlaşmak,Akkor durumuna gelmek,,
akkorlaştırılmak,Akkor durumuna getirilmek,,
akkorlaştırmak,Akkor durumuna getirmek,,
aklamak,"Suçsuz veya borçsuz olduğu yargısına vararak birini temize çıkarmak; tebriye etmek, ibra etmek [hukuk]",,
aklanabilmek,Aklanma ihtimali veya imkânı bulunmak,,
aklanmak,"Ak olmak; temizlenmek | Hakkında dava açılan sanık yargılama sonunda suçsuz bulunmak; temize çıkmak, beraat etmek [hukuk] | Kooperatif, şirket, dernek vb. kuruluşların faaliyetleri ve harcamaları genel kurulca uygun bulunmak [hukuk]",,
aklatmak,Aklama işini yaptırmak,,
aklayabilmek,Aklama ihtimali veya imkânı bulunmak | Aklamaya gücü yetmek,,
aklayıvermek,Çabucak aklamak,,aklayı'vermek
aklileşmek,Herhangi bir iş veya davranış akla uygun duruma gelmek; ussallaşmak,,
aklileştirilmek,Herhangi bir iş veya davranış akla uygun duruma getirilmek; ussallaştırılmak,,
aklileştirmek,Herhangi bir iş veya davranışı akla uygun duruma getirmek; ussallaştırmak,,
akmak,"Sıvı maddeler veya çok ince taneli katı maddeler bir yerden başka bir yere doğru gitmek | Sıvı maddeler aşağıya yönelmek | Sıvı madde bir yerden çıkmak; süzülmek | Bir kap veya bir yer içindeki veya üstündeki sıvıyı sızdırmak | Art arda ve toplu olarak gitmek | Kumaş yıpranıp iplikleri erimeye başlamak | Boya birbirine karışmak | Sürüp gitmek | Zaman çabuk geçmek | Çabucak savuşmak, ortadan kaybolmak | Kayıp gitmek",,
akortlamak,Akort etmek,,
akortlanmak,Akortlama işi yapılmak,,
akortlatmak,Akortlama işini yaptırmak,,
akortsuzlaşmak,Akordu bozulmak,,
akortsuzlaştırmak,Ses düzensizliği veya ayarsızlığı meydana getirmek | Radyoda bir ayar frekansında sapma meydana getirmek [teknik],,
aksamak,"Hafifçe topallamak | Bir iş gereği gibi yürümemek, geri kalmak",,
aksatabilmek,Aksatma ihtimali veya imkânı bulunmak | Aksatmaya gücü yetmek,,
aksatılmak,Aksamasına yol açılmak,,
aksatmak,Bir işi gereği gibi yürütmemek,,
aksayabilmek,Aksama ihtimali veya imkânı bulunmak,,
aksetmek,Birileri aracılığıyla duyulmak,Arapça ʿaks + Türkçe etmek,a'ksetmek
aksettirmek,"Haberi, durumu ulaştırmak, yaymak, duyurmak",Arapça ʿaks + Türkçe ettirmek,a'ksettirmek
aksileşmek,İnatçılık etmek; aksilenmek | Hırçın duruma gelmek; aksilenmek | Olumlu ve uysal davranışları terk ederek huysuzluk etmek,,
akşamlamak,Bütün günü bir yerde veya bir işte geçirerek akşama erişmek | Akşamı bir yerde geçirmek | Ay dolunay durumundan sonra geç doğmak,,
akşamlatmak,Akşamlama işini yaptırmak,,
akşamlayabilmek,Akşamlama ihtimali veya imkânı bulunmak | Akşamlamaya gücü yetmek,,
aktarabilmek,Aktarma ihtimali veya imkânı bulunmak | Aktarma becerisi bulunmak,,
aktarılabilmek,Aktarılma ihtimali veya imkânı bulunmak,,
aktarılıvermek,Çabucak aktarılmak,,aktarılı'vermek
aktarılmak,Aktarma işine konu olmak,,
aktarıvermek,Çabucak aktarmak,,aktarı'vermek
aktarmak,"Bir şeyi bir yerden, bir kaptan başka bir yere veya kaba geçirmek | Bir şeyin yolunu, yönünü değiştirmek | Bir lehçeyi başka bir lehçeye uyarlamak [dil bilimi] | Bir konu, haber vb.ni iletmek, bildirmek | Bir kitabı başından sonuna kadar okumak | Birinin başka biriyle telefonla konuşmasını sağlamak | Çatı kiremitlerinin kırık ve bozuk olanlarının yerlerine sağlamlarını koymak | Kaynak kişiden derlenen herhangi bir parçayı kitlelere duyurmak ve yaymak [edebiyat] | Tür değişikliği yapmak [edebiyat] | Bir veri veya programı bulunduğu yerden bir başka yere taşımak [bilişim] | Üretilmiş olan bir enerjiyi, başka organlara iletmek [teknik]",,
aktartmak,Aktarma işini yaptırtmak,,
alabilmek,Alma ihtimali veya imkânı bulunmak | Almaya gücü yetmek | Alma becerisi bulunmak,,
alacaklandırmak,Vadeli satış yapan firmaların her türlü mal ve hizmet satışından doğan haklarını alacaklandırıcı adı verilen finansal kuruluşlara devretmek [ekonomi],,
alacalamak,"Alaca duruma getirmek | Renk renk, benek benek boyamak",,
alacalandırmak,Alaca duruma getirmek,,
alacalanmak,"Alaca bir duruma gelmek | Herhangi bir heyecan dolayısıyla benzi kızarıp bozarmak, renkten renge girmek | Eriyen karlar arasından yer yer toprak görünmek",,
alafrangalaşmak,"Alafranga olmak, alafranga davranmak",,
alafrangalaştırmak,Alafrangalaşmasına sebep olmak,,
alakalanmak,"Gönül bağlamak, yakınlık duymak | Bir şey çekici gelmek | Bir şeyden zevk almak",,
alarmak,Ala renkli duruma gelmek,,
alaşımlamak,Alaşımı oluşturan metalleri eriterek birbirine katmak,,
alaturkalaşmak,Alaturka olmak,,
alaturkalaştırmak,Alaturkalaşmasını sağlamak,,
alazlamak,"Bir şeyin yüzünü alevden geçirmek, aleve tutmak",,
alazlanmak,Alazlama işine konu olmak | Vücutta kızıllık veya kızıl lekeler belirmek,,
alçaklaşabilmek,Alçaklaşma eğilimi veya ihtimali bulunmak,,
alçaklaşmak,Alçak duruma gelmek,,
alçaklaştırmak,Alçaklaşmasına sebep olmak,,
alçalabilmek,Alçalma eğilimi veya ihtimali bulunmak,,
alçalıvermek,Beklenmedik bir anda ve kısa sürede alçalmak,,alçalı'vermek
alçalmak,"Alçak duruma gelmek, yüksekten aşağı doğru inmek | Onurunu yitirecek kadar bayağılaşmak | Ses, gürültü vb. azalmak, kısık duruma gelmek",,
alçaltabilmek,Alçaltma ihtimali veya imkânı bulunmak | Alçaltmaya gücü yetmek,,
alçaltılmak,Alçak duruma getirilmek,,
alçaltıvermek,Çabucak alçaltmak,,alçaltı'vermek
alçaltmak,Alçak duruma getirmek | Değerini azaltmak,,
alçılamak,"Alçı ile sıvamak | Kırılan bir kemiği gereği gibi kaynaması için alçıya batırılmış sargı ile sarmak, alçıya almak",,
alçılanmak,Alçılama işine konu olmak,,
alçılatmak,"Alçı ile kapattırmak, sıvatmak",,
alçılayabilmek,Alçılama ihtimali veya imkânı bulunmak | Alçılama becerisi bulunmak,,
alçılayıvermek,Çabucak alçılamak,,
aldanabilmek,Aldanma eğilimi veya ihtimali bulunmak,,
aldanıvermek,"Çabucak, kolaylıkla aldanmak",,aldanı'vermek
aldanmak,"Görünüşe bakarak yanlış bir yargıya varmak | Bir hileye, bir yalana kanmak | Hayal kırıklığına uğramak | Havanın birden ısınmasıyla zamansız açan çiçek soğuk sebebiyle donmak",,
aldatabilmek,Aldatma ihtimali veya imkânı bulunmak | Aldatma becerisi bulunmak,,
aldatılabilmek,"Aldatılmaya eğilimli olmak, kolayca aldatılmak, aldatılma ihtimali bulunmak",,
aldatılmak,Aldatma işine konu olmak; çarpılmak,,
aldatıvermek,Çabucak aldatmak,,aldatı'vermek
aldatmak,"Beklenmedik bir davranışla yanıltmak | Karşısındakinin dikkatsizliğinden, ilgisizliğinden yararlanarak onun üzerinden kazanç sağlamak | Birine verilen sözü tutmamak | Yalan söylemek | Bir şeyin görünürdeki durumu, o şeyin niteliği bakımından yanlış bir kanı vermek | Yanlış yapmaya yöneltmek; kandırmak | Karı ve kocadan biri eşine sadakatsizlik etmek, ihanet etmek | Olmayacak bir şeyle oyalamak",,
aldırabilmek,Aldırma ihtimali veya imkânı bulunmak | Aldırmaya gücü yetmek,,
aldırılabilmek,"Aldırılma ihtimali veya imkânı bulunmak, kolayca aldırılmak",,
aldırılmak,Aldırma işi yapılmak,,
aldırmak,"Alma işini yaptırmak | Getirilmesini sağlamak | Vücuttan herhangi bir parçayı veya organı sağlık sebebiyle çıkarttırmak | Başkasına kaptırmak | Bir nesneyi bir kaba veya yere sığdırmak | Birine veya bir şeye önem vermek, değer vermek",,
aldırtabilmek,Aldırtma ihtimali veya imkânı bulunmak | Aldırtmaya gücü yetmek,,
aldırtmak,Alma işini başkasına yaptırmak,,
alenileşmek,Herkesçe bilinir duruma gelmek,,
alevlendirebilmek,Alevlendirme ihtimali veya imkânı bulunmak | Alevlendirmeye gücü yetmek,,
alevlendirilmek,Alevlendirme işine konu olmak,,
alevlendirmek,"Alevlenmesini sağlamak, tutuşturmak | Etkisini, şiddetini artırmak, çoğaltmak; harlatmak",,
alevlenebilmek,Alevlenme ihtimali veya imkânı bulunmak,,
alevlenivermek,Çabucak alevlenmek,,alevleni'vermek
